started_at,runtime
2017-08-21 15:30:44.032736,469.0
2017-07-01 20:16:25.782531,350.0
2017-07-27 07:13:37.133747,225.0
2017-09-03 13:15:45.133048,793.0
2017-07-16 14:10:36.208460,117.0
2017-07-10 19:00:40.497195,341.0
2017-07-25 09:41:07.124601,1225.0
2017-07-17 12:40:51.596862,171.0
2017-08-07 12:05:28.901477,53.0
2017-08-03 02:55:45.756884,942.0
2017-09-28 20:20:22.791345,49.0
2017-07-29 05:15:40.789457,878.0
2017-09-22 18:00:49.235503,466.0
2017-09-13 20:00:25.732724,4.0
2017-07-24 21:41:03.422139,1101.0
2017-07-13 15:15:29.992819,759.0
2017-09-25 19:15:36.993396,735.0
2017-07-25 11:17:51.530437,1329.0
2017-08-08 19:35:40.830716,765.0
2017-07-31 07:15:52.631471,837.0
2017-09-19 18:55:36.641144,433.0
2017-09-13 12:00:41.497568,393.0
2017-08-21 10:01:15.923478,854.0
2017-09-18 10:15:19.965195,164.0
2017-07-24 14:55:55.453949,1025.0
2017-08-18 07:40:27.344516,19.0
2017-08-03 13:05:34.049928,127.0
2017-09-28 22:21:00.300370,575.0
2017-08-18 07:40:32.961678,13.0
2017-07-17 09:00:57.998715,193.0
2017-07-28 07:45:56.953261,533.0
2017-08-09 06:20:37.145117,276.0
2017-07-19 07:11:14.618258,585.0
2017-07-21 12:30:49.279361,467.0
2017-07-19 11:16:15.887499,1277.0
2017-09-30 07:40:46.891767,382.0
2017-07-07 13:26:57.287604,371.0
2017-08-03 18:35:28.281777,49.0
2017-07-04 19:15:50.211959,441.0
2017-07-02 14:35:24.486641,66.0
2017-08-07 14:05:52.269045,2198.0
2017-08-02 23:01:58.993598,747.0
2017-08-03 20:25:49.072712,917.0
2017-08-01 22:25:49.190962,834.0
2017-07-14 07:35:26.720854,104.0
2017-07-27 23:05:42.615890,274.0
2017-07-12 13:30:42.613620,228.0
2017-09-27 19:10:46.345914,420.0
2017-07-07 15:05:49.746351,895.0
2017-08-08 19:05:39.186050,222.0
2017-08-31 22:50:40.666987,644.0
2017-07-26 21:20:51.008953,3170.0
2017-08-17 07:30:47.326137,177.0
2017-07-27 12:21:07.267887,442.0
2017-07-24 21:31:43.308855,224.0
2017-07-26 22:35:40.440595,741.0
2017-08-06 12:05:33.125308,725.0
2017-07-11 21:05:41.232783,518.0
2017-08-11 11:10:35.037753,503.0
2017-07-20 12:36:55.802903,833.0
2017-09-26 12:50:38.827384,71.0
2017-09-14 19:05:29.955836,297.0
2017-07-31 10:10:42.734380,244.0
2017-09-01 18:45:56.161281,49.0
2017-07-28 01:03:22.636913,1162.0
2017-08-11 17:35:22.559621,182.0
2017-07-20 17:45:43.958678,795.0
2017-07-01 18:07:12.541090,43.0
2017-08-02 21:05:38.268505,279.0
2017-07-24 20:55:35.737759,307.0
2017-09-04 10:40:27.207643,57.0
2017-08-01 15:26:07.984173,29.0
2017-07-27 21:10:50.275418,338.0
2017-09-06 17:15:24.302370,77.0
2017-08-02 19:05:37.877866,127.0
2017-07-11 04:50:43.918937,763.0
2017-09-28 22:15:27.642467,357.0
2017-09-27 14:50:34.043284,351.0
2017-09-27 14:50:35.716241,963.0
2017-07-03 20:30:34.996372,16.0
2017-07-28 10:21:13.753953,192.0
2017-09-18 13:35:33.954763,461.0
2017-07-17 10:00:58.376005,216.0
2017-07-15 15:00:27.649693,65.0
2017-08-06 14:30:38.807977,393.0
2017-09-29 23:05:45.729321,509.0
2017-07-14 13:05:39.015124,852.0
2017-08-14 03:15:34.134329,374.0
2017-07-06 13:05:34.483300,929.0
2017-08-23 21:05:28.115149,59.0
2017-07-26 18:50:48.140769,416.0
2017-08-29 15:50:47.184011,989.0
2017-07-06 09:40:44.155764,195.0
2017-08-04 12:35:56.212791,1011.0
2017-07-21 03:00:43.617860,411.0
2017-08-16 15:05:27.660059,516.0
2017-09-26 01:40:42.304510,205.0
2017-08-15 16:05:26.993587,306.0
2017-07-28 12:06:08.669842,872.0
2017-09-25 14:45:40.685429,857.0
2017-07-31 11:00:33.105455,53.0
2017-08-07 22:20:58.720751,950.0
2017-08-09 13:05:24.541571,69.0
2017-07-19 17:00:57.375414,377.0
2017-08-07 06:15:26.899563,104.0
2017-07-28 06:11:08.805455,108.0
